ID,Épica,Módulo,Historia/Requerimiento,Tarea,Capa,Descripción,Criterios de aceptación,Prioridad,Responsable,Dependencias,Estado,Estimación (h),Riesgo,Evidencia,Bloque,ADR origen
FND-BD-11,Plataforma de datos,tbl_documents,"Como usuario necesito adjuntar documentos a obras, proveedores, contratos, pólizas y facturas.",Modificar columna: ampliar el enum doc_type de tbl_documents,BD,"El enum doc_type admite hoy solo USERS, PROFILES, PAGINAS y PERMISOS. Ampliarlo a las entidades de negocio o sustituirlo por una tabla de dominio. Además doc_id_ref no tiene clave foránea y el JOIN interno a tbl_users oculta documentos con autor nulo.","1) doc_type admite obras, proveedores, contratos, pólizas y facturas 2) Se documenta la decisión sobre doc_id_ref polimórfico y su falta de integridad referencial 3) Migración reversible 4) El JOIN interno a tbl_users queda corregido a externo",Media,Dev BD,FND-BD-01,Pendiente,6,Bajo,Migración y consulta que lista documentos de cada tipo,Fundación,"ADR-0011 B9, 0012 B14, 0018 B8, 0020 B15, 0013 B13"
FND-BD-12,Auditoría,tbl_providers / tbl_password_resets,Como desarrollador necesito que las columnas de auditoría sigan una sola convención.,Modificar columna: corregir pro_update_at y par_created_at,BD,Renombrar tbl_providers.pro_update_at al prefijo correcto prv_ y alinear tbl_password_resets.par_created_at con la convención de cuatro columnas del proyecto.,1) Ambas columnas renombradas por migración 2) Todas las consultas que las referencian actualizadas 3) El módulo template deja de propagar la convención en español,Baja,Dev BD,FND-BD-01,Pendiente,4,Bajo,Migración y búsqueda en código sin referencias al nombre antiguo,Fundación,ADR-0013 B11 B12 B9
FND-BD-13,Plataforma de datos,Esquema completo,Como desarrollador necesito que los JOIN entre tablas nuevas y tbl_users no fallen ni degraden por colación.,Modificar columna: unificar colaciones del esquema,BD,Unificar la colación de todas las tablas y columnas de texto. Hoy hay divergencias entre tbl_providers y tbl_users que afectarán a los JOIN de las tablas nuevas.,1) Una sola colación declarada para la base de datos y para cada tabla 2) Consulta de verificación que no devuelve ninguna divergencia 3) Las tablas nuevas heredan la colación por defecto,Baja,Dev BD,FND-BD-01,Pendiente,4,Bajo,Migración y consulta de information_schema sin divergencias,Fundación,"ADR-0011 B15, 0008 B10"
FND-BD-14,Integridad transaccional,Transversal CORE,Como usuario necesito que un doble clic o un reenvío no cree dos registros.,Crear columna y UNIQUE: patrón de clave de idempotencia,BD,"Definir el patrón de columna de clave de idempotencia con restricción UNIQUE, aplicable a toda entidad creable y a todo historial de transición del CORE. Sin idempotencia, un doble envío duplica facturas y transiciones.","1) Patrón documentado: nombre de columna, tipo, índice UNIQUE y política de caducidad 2) Plantilla de migración reutilizable 3) Toda tabla creable del CORE lo incorpora desde su creación 4) Prueba que envía la misma clave dos veces y obtiene una sola fila",Alta,Dev BD + Tech Lead,FND-BD-01,Pendiente,6,Medio,"Documento de patrón, plantilla de migración y prueba de repetición",Fundación,ADR-0027 B3
FND-BD-15,Plataforma de datos,Esquema completo,Como responsable técnico necesito saber qué índices tiene hoy el esquema antes de añadir las tablas del CORE.,Revisar impacto de índices del esquema existente,BD,"Inventariar los índices actuales de las 14 tablas, identificar los que no se usan y los que faltan en las claves foráneas, y fijar el criterio de indexación para las tablas del CORE.",1) Inventario de índices con su uso real documentado 2) Toda clave foránea tiene índice 3) Criterio de indexación del CORE acordado y escrito 4) Los índices que no se usan quedan marcados para retiro con justificación,Media,Dev BD,FND-BD-01,Pendiente,8,Bajo,Informe de inventario de índices en docs/,Fundación,"ADR-0002, 0027"
FND-BE-01,Seguridad,auth.service.js,Como responsable de seguridad necesito que nadie entre con una contraseña universal.,Regla de negocio: eliminar la puerta trasera de autenticación,Backend,auth.service.js admite la contraseña 123456 para cualquier usuario y además sobrescribe la contraseña real. Eliminar la rama por completo y tratar todas las credenciales existentes como comprometidas.,1) La rama de la contraseña fija no existe en el código 2) Un intento con esa contraseña devuelve 401 como cualquier credencial inválida 3) Prueba automatizada que lo verifica 4) Comunicación de rotación de contraseñas a los usuarios afectados,Crítica,Dev Backend,-,Pendiente,3,Alto,PR con la rama eliminada y prueba de login fallido,Fundación,ADR-0001 B1
FND-BE-02,Seguridad,auth.service.js,Como responsable de seguridad necesito que ningún secreto viva en el repositorio.,Manejo de errores y configuración: retirar el fallback del secreto y rotarlo,Backend,"El secreto de restablecimiento está embebido como valor de reserva en el código. Retirarlo, obtenerlo solo de variables de entorno y hacer que el arranque falle si falta. Rotar el valor actual en todos los entornos asumiéndolo comprometido.",1) Ningún secreto tiene valor de reserva en el código 2) El servidor no arranca si falta un secreto obligatorio y el mensaje lo nombra 3) Secreto rotado en todos los entornos 4) Búsqueda en el repositorio sin coincidencias de secretos literales,Crítica,Dev Backend,-,Pendiente,4,Alto,"PR, registro de rotación y prueba de arranque fallido sin variable",Fundación,ADR-0001 B3
FND-BE-03,Seguridad,auth.controller.js,Como usuario necesito que el código de restablecimiento llegue solo a mi correo.,Respuestas HTTP: dejar de devolver el token de restablecimiento en el cuerpo,Backend,"forgot_password devuelve el token en la respuesta HTTP, lo que permite restablecer la contraseña de cualquier cuenta sin acceso al correo. El token debe viajar únicamente por el canal de correo.",1) La respuesta de forgot_password no contiene el token ni ningún dato del usuario 2) El cliente deja de leerlo y solicita el código al usuario 3) Prueba de integración que inspecciona el cuerpo de la respuesta,Crítica,Dev Backend,-,Pendiente,4,Alto,PR y prueba de integración sobre el cuerpo de la respuesta,Fundación,ADR-0001 B4
FND-BE-04,Seguridad,auth.controller.js,Como usuario necesito que un script en el navegador no pueda leer mi token de sesión.,"Respuestas HTTP: cookie de sesión httpOnly, secure y sameSite",Backend,"La cookie de sesión se emite sin httpOnly y el frontend hidrata al usuario desde una cookie legible por JavaScript. Emitir el token exclusivamente en cookie httpOnly, secure y sameSite, conservando el header Authorization solo para clientes no navegador.","1) La cookie de sesión tiene httpOnly, secure y sameSite 2) El token no se devuelve en el cuerpo de login 3) El cliente obtiene su perfil por endpoint y no desde una cookie legible 4) El guardia de ruta del cliente queda declarado como control de experiencia, no de seguridad",Alta,Dev Backend + Dev Frontend,FND-BE-03,Pendiente,10,Medio,Captura de cabeceras Set-Cookie y prueba de acceso desde JavaScript,Fundación,ADR-0001 B5
FND-BE-05,Seguridad,app.js,Como responsable de plataforma necesito que los controles ya escritos estén activos.,"Logs y manejo de errores: montar helmet, rate limit y logger HTTP persistente",Backend,"helmet, el rate limiting y el logger HTTP con winston están implementados y no montados en app.js. Montarlos, con un umbral de rate limit más estricto en las rutas de autenticación.","1) helmet activo y verificable en las cabeceras de respuesta 2) Rate limit activo, con umbral diferenciado en /auth 3) Logger HTTP escribiendo en logs/api.log y logs/error-api.log 4) Política de rotación y retención de logs definida",Alta,Dev Backend,-,Pendiente,6,Bajo,"Cabeceras de respuesta, archivos de log generados y prueba de rate limit",Fundación,"ADR-0001 B6, 0013 B7, 0027 B10"
FND-BE-06,Seguridad,server/socket.js,Como usuario necesito que nadie más reciba mis notificaciones.,Permisos: autenticar el handshake de Socket.IO y alinear orígenes con CORS,Backend,"La conexión de socket acepta el userId desde handshake.auth sin verificar el token: cualquier cliente puede unirse a la sala de otro usuario. Verificar el token en el handshake y alinear la lista de orígenes con la de CORS, hoy desalineadas.",1) El handshake rechaza la conexión si el token es inválido o falta 2) La sala se deriva del token y nunca del dato enviado por el cliente 3) Las listas de orígenes de CORS y Socket.IO son la misma 4) Prueba que intenta unirse a la sala de otro usuario y es rechazada,Alta,Dev Backend,-,Pendiente,8,Medio,PR y prueba de conexión con token ajeno rechazada,Fundación,"ADR-0001 B11, 0017 B12"
FND-BE-07,Seguridad,auth.routes.js / auth.controller.js,Como usuario necesito que nadie modifique mi cuenta ni mi contraseña usando mi identificador.,Validaciones: corregir IDOR tomando el sujeto de req.user,Backend,"update_account, get_basic_information y update_password aceptan el identificador del sujeto desde la petición; update_password además carece de verifyToken. Tomar siempre el sujeto de req.user y aceptar identificadores del cliente solo cuando designan un objeto distinto y la autorización lo permite.",1) Las tres operaciones toman el sujeto de req.user 2) update_password exige verifyToken 3) Un intento con el identificador de otro usuario devuelve 403 4) Pruebas de integración para los tres casos,Alta,Dev Backend,-,Pendiente,8,Alto,PR y tres pruebas de integración con identificador ajeno,Fundación,ADR-0001 B9
FND-BE-08,Seguridad,authjwt.middleware.js / app.service.js,Como responsable técnico necesito una sola definición de sesión válida.,Reglas de negocio: unificar las dos verificaciones de token,Backend,Existen dos verificaciones de token con criterios distintos: una exige sta_id = 1 y otra admite un estado 4 que no existe en el catálogo. Unificarlas en una sola implementación.,1) Una única función de verificación usada por todas las rutas 2) El criterio de estado es único y coincide con el catálogo sembrado 3) La segunda implementación queda eliminada 4) Prueba con usuario inactivo rechazado en todas las rutas,Media,Dev Backend,FND-BD-04,Pendiente,6,Medio,PR y prueba de usuario inactivo en rutas de ambos orígenes,Fundación,ADR-0001 B13
FND-BE-09,Seguridad,auth.routes.js,Como usuario necesito poder cerrar sesión de verdad.,Endpoint: logout de servidor que limpia la cookie,Backend,"El cliente invoca /auth/logout y /auth/reset_password, endpoints que no existen en el backend. Implementar el logout que limpia la cookie del lado del servidor y resolver el segundo endpoint o retirar su llamada.",1) POST /auth/logout limpia la cookie de sesión y responde 200 2) El cliente deja de invocar endpoints inexistentes 3) Se documenta la decisión sobre control de sesión concurrente y refresh token 4) Prueba que verifica que la cookie queda invalidada,Media,Dev Backend + Dev Frontend,FND-BE-04,Pendiente,6,Bajo,PR y prueba de logout con cookie invalidada,Fundación,ADR-0001 B14
FND-BE-10,Seguridad,auth.service.js,Como responsable de seguridad necesito que el sistema no revele qué correos están registrados.,Respuestas HTTP: respuesta uniforme en recuperación de contraseña,Backend,"forgot_password devuelve 404 cuando el correo no existe, lo que permite enumerar usuarios. La respuesta debe ser idéntica para correo existente e inexistente.","1) La respuesta es idéntica en cuerpo, código y tiempo aproximado para ambos casos 2) No se envía correo cuando la cuenta no existe, pero la respuesta no lo revela 3) Prueba que compara ambas respuestas",Alta,Dev Backend,-,Pendiente,4,Medio,Prueba comparativa de respuestas,Fundación,ADR-0001 B7
FND-BE-11,Seguridad,otp.utils.js / auth.service.js,Como usuario necesito que el código de verificación no sea adivinable ni reutilizable.,Reglas de negocio: rediseñar el OTP con generación criptográfica y límite de intentos,Backend,"El código se genera con Math.random, se almacena en texto plano, no invalida los anteriores y no limita intentos. Rediseñarlo con generador criptográficamente seguro, almacenamiento con hash, un único código vigente por usuario, expiración y límite de intentos.",1) El código se genera con un generador criptográficamente seguro 2) Se almacena con hash y nunca en claro 3) Un código nuevo invalida los anteriores del mismo usuario 4) Superado el límite de intentos el código queda inutilizado y se registra el evento,Alta,Dev Backend,FND-BD-10,Pendiente,12,Medio,"PR y pruebas de expiración, invalidación y límite de intentos",Fundación,ADR-0001 B8
FND-BE-12,Seguridad,Rutas públicas,Como responsable técnico necesito que ninguna petición mal formada llegue a la capa de servicio.,Validaciones: introducir validación de esquema con express-validator,Backend,"express-validator está declarado como dependencia y no se usa; no hay validación de esquema en ningún endpoint. Introducirla en los endpoints públicos y extenderla al resto como parte del pipeline verifyToken, requirePermission, validación de esquema, regla de negocio.",1) Todos los endpoints públicos tienen esquema de entrada declarado 2) Una petición inválida devuelve 400 con el campo señalado 3) El pipeline de middlewares queda documentado y aplicado en el mismo orden 4) Pruebas de entradas inválidas por endpoint público,Media,Dev Backend,-,Pendiente,12,Bajo,PR con esquemas y pruebas de entradas inválidas,Fundación,"ADR-0001 B17, 0023 B14"
FND-BE-13,Autorización,common/middlewares,Como responsable de seguridad necesito que el backend decida si una operación está permitida.,Permisos: construir el middleware requirePermission,Backend,Ninguna ruta del backend verifica permisos hoy: cualquier usuario autenticado podría aprobar facturas o liquidar contratos. Construir un middleware declarativo que resuelva los permisos efectivos en cada petición y responda 403 si falta el permiso.,"1) El middleware resuelve permisos desde la base de datos en cada petición, nunca desde el token ni el cuerpo 2) Devuelve 403 con un mensaje que nombra el permiso faltante 3) Se declara junto a la ruta y es auditable de un vistazo 4) Prueba con usuario sin permiso rechazado",Crítica,Dev Backend,FND-BD-05,Pendiente,16,Alto,PR del middleware y pruebas de 403,Fundación,"ADR-0014 B1, presente en las brechas de 0015 a 0026"
FND-BE-14,Autorización,Todos los *.routes.js,Como auditor necesito ver en la definición de cada ruta qué permiso exige.,Permisos: declarar el permiso requerido en cada ruta existente,Backend,"Aplicar requirePermission a las rutas de los diez archivos de rutas actuales, empezando por security. Una ruta de negocio sin verificación explícita se considera un defecto, no una ruta pública.",1) Toda ruta de negocio declara su permiso 2) Una prueba automatizada enumera las rutas y falla si alguna carece de verificación 3) Las rutas deliberadamente públicas están en una lista blanca justificada 4) Documentación de la matriz ruta-permiso,Crítica,Dev Backend,FND-BE-13,Pendiente,16,Medio,"PR, matriz ruta-permiso y prueba de cobertura de rutas",Fundación,ADR-0014 B1
FND-BE-15,Autorización,permissions.service.js,Como administrador necesito que al cambiar los permisos de un perfil cambien los de sus usuarios.,Query SQL: resolver permisos efectivos como unión de perfil e individuales,Backend,"Hoy los permisos se copian al crear el usuario, por lo que los cambios de perfil no se propagan. Sustituir por resolución en consulta: el permiso efectivo es la unión de los permisos del perfil y las excepciones individuales.","1) Una sola consulta parametrizada devuelve los permisos efectivos de un usuario 2) Un cambio en el perfil se refleja de inmediato en todos sus usuarios 3) Los cuatro mecanismos concurrentes de autorización quedan reducidos a uno 4) Pruebas de perfil, excepción individual y unión de ambos",Alta,Dev Backend,FND-BE-13,Pendiente,12,Medio,PR y pruebas de propagación de permisos de perfil,Fundación,ADR-0014 B5 B6
FND-BE-16,Autorización,permissions.service.js,Como responsable de seguridad necesito que nadie se conceda permisos a sí mismo.,Reglas de negocio: restringir la asignación de permisos e impedir la autoconcesión,Backend,update_permissions_user permite que un usuario se conceda permisos. Restringir ambas operaciones de asignación a quien posea el permiso de asignación e impedir explícitamente que el sujeto sea el propio solicitante.,1) Ambas operaciones exigen el permiso de asignación 2) Un intento de asignarse permisos a uno mismo devuelve 403 3) Todo cambio de permisos queda en la bitácora funcional con autor y fecha 4) Pruebas de autoconcesión y de asignación sin permiso,Crítica,Dev Backend,FND-BE-13,Pendiente,8,Alto,"PR, pruebas de 403 y registro en bitácora",Fundación,ADR-0014 B2
FND-BE-17,Autorización,users.service.js,Como responsable de seguridad necesito que una petición no pueda escribir columnas arbitrarias de la tabla de usuarios.,Validaciones: retirar o acotar ProfileMode a una lista blanca de columnas,Backend,saveUser con ProfileMode escribe columnas arbitrarias de tbl_users a partir de la petición. Retirar el modo o acotarlo a una lista blanca explícita de columnas modificables.,1) Ninguna columna se escribe a partir de un nombre recibido del cliente 2) Lista blanca declarada en el código y cubierta por prueba 3) Un intento de escribir una columna fuera de la lista devuelve 400 4) Revisión de que no exista el mismo patrón en otros servicios,Crítica,Dev Backend,-,Pendiente,8,Alto,PR y prueba con columna no permitida,Fundación,ADR-0014 B3
FND-BE-18,Autorización,app.service.js,Como administrador necesito una sola fuente para la visibilidad de páginas.,Query SQL: migrar la visibilidad de páginas a tbl_page_permissions y retirar use_pages y pro_pages,Backend,"getMenu interpola el CSV de use_pages sin parametrizar, lo que además es un vector de inyección. Migrar la visibilidad a tbl_page_permissions, parametrizar la consulta y retirar las dos columnas desnormalizadas.",1) getMenu usa una consulta parametrizada sobre tbl_page_permissions 2) use_pages y pro_pages quedan retiradas tras migrar los datos 3) Prueba de inyección sobre el parámetro que ya no altera la consulta 4) El menú resultante coincide con el anterior para un conjunto de usuarios de prueba,Alta,Dev Backend,FND-BE-15 FND-BD-05,Pendiente,12,Medio,"PR, script de migración de datos y prueba de inyección",Fundación,ADR-0014 B4 B5
FND-BE-19,Autorización,permissions module,Como desarrollador frontend necesito el catálogo de permisos desde la API y no duplicado en el cliente.,Endpoint: exponer el catálogo de permisos,Backend,El catálogo de permisos vive en permissionsConfig.js del cliente como constantes numéricas literales. Exponerlo por API para que el cliente lo consuma en lugar de duplicarlo.,"1) Endpoint que devuelve el catálogo con clave, nombre y descripción 2) El endpoint exige autenticación 3) El cliente consume el catálogo y no mantiene constantes numéricas 4) El comentario obsoleto que referencia tablas inexistentes queda corregido",Media,Dev Backend,FND-BD-05,Pendiente,6,Bajo,PR del endpoint y consumo desde el cliente,Fundación,ADR-0014 B7
FND-BE-20,Autorización,server/socket.js,Como usuario necesito que los cambios de permisos de otros no lleguen a mi sesión.,Permisos: emitir update-permissions a la sala del usuario,Backend,io.emit difunde los cambios de permisos a todos los clientes conectados. Dirigir la emisión a la sala del usuario afectado.,1) La emisión usa la sala del usuario y no la difusión global 2) Prueba que verifica que un segundo cliente no recibe el evento 3) Depende del handshake autenticado para ser confiable,Media,Dev Backend,FND-BE-06,Pendiente,4,Bajo,PR y prueba con dos clientes conectados,Fundación,ADR-0014 B9
FND-BE-21,Auditoría,Todos los servicios de escritura,Como auditor necesito que el autor registrado no pueda ser falsificado por el cliente.,Auditoría: tomar el autor de req.user en todos los servicios de escritura,Backend,"Los controladores leen el autor de req.body y lo pasan al servicio: una auditoría que el cliente puede falsificar no tiene valor probatorio. Tomarlo siempre de req.user, ya poblado por verifyToken.",1) Ningún servicio de escritura recibe el autor desde el cuerpo de la petición 2) El cliente deja de enviar el identificador de usuario en las peticiones de escritura 3) Prueba que envía un autor distinto en el cuerpo y verifica que se ignora 4) Revisión que enumera los servicios de escritura y confirma la cobertura,Alta,Dev Backend,-,Pendiente,12,Medio,PR y prueba de autor falsificado ignorado,Fundación,"ADR-0013 B1, 0001, presente en 0015 a 0026"
FND-BE-22,Auditoría,common/utils,Como auditor necesito que la bitácora se escriba siempre igual y dentro de la operación auditada.,Service: utilidad común de escritura de bitácora funcional,Backend,"Construir la utilidad que registra campo, valor anterior, valor nuevo, operación, usuario y fecha, y que se invoca desde la capa de servicio dentro de la misma transacción que la operación auditada.","1) La utilidad recibe la conexión de la transacción y nunca abre una propia 2) Si la operación revierte, la bitácora revierte con ella 3) Formato de registro homogéneo para todas las entidades 4) Prueba que verifica que un rollback no deja registro de bitácora",Alta,Dev Backend,FND-BD-08 FND-BE-24,Pendiente,12,Medio,PR de la utilidad y prueba de rollback conjunto,Fundación,ADR-0013 B2
FND-BE-23,Auditoría,auth / permissions,Como responsable de seguridad necesito un registro de los eventos de autenticación y de cambios de permisos.,Auditoría: registro de eventos de seguridad,Backend,"No existe auditoría de eventos de seguridad. Registrar inicios de sesión, fallos, restablecimientos, bloqueos por intentos y toda concesión o revocación de permiso. Es el subconjunto de mayor valor y menor volumen.","1) Los eventos de autenticación quedan registrados con usuario, resultado, fecha y origen 2) Toda concesión y revocación de permiso queda en la bitácora funcional 3) El registro no contiene contraseñas, tokens ni códigos 4) Consulta de ejemplo que reconstruye la actividad de un usuario",Media,Dev Backend,FND-BE-22,Pendiente,10,Bajo,PR y consulta de reconstrucción de actividad,Fundación,"ADR-0013 B3, 0014 B10, 0001 B15"
FND-BE-24,Integridad transaccional,common/utils,Como responsable técnico necesito que ninguna escritura escape de su transacción.,Transacciones: utilidad central de transacción y prohibición de executeQuery sin conexión,Backend,"executeQuery toma una conexión nueva si se omite el parámetro, de modo que una escritura dentro de una transacción puede escapar de ella. Centralizar la gestión de transacciones en una utilidad que obtiene la conexión, abre, entrega, confirma o revierte y libera, preservando el error original aunque el rollback falle.",1) Toda operación del CORE se ejecuta a través de la utilidad 2) Invocar executeQuery sin conexión dentro de una transacción es detectado por lint o por revisión 3) El error original se conserva aunque el rollback falle 4) Prueba que fuerza un fallo de rollback y verifica el error propagado,Crítica,Dev Backend + Tech Lead,-,Pendiente,14,Alto,"PR de la utilidad, regla de lint y prueba de fallo de rollback",Fundación,"ADR-0027 B1 B8, 0011 B3, 0015 B11"
